CODE;FR
31212100-6;Disjoncteurs suspendus
31212200-7;Testeurs de circuits
31212300-8;Coupe-circuits magnétiques
31212400-9;Coupe-circuits miniatures
31213000-2;Équipement de distribution
31213100-3;Boîtes de distribution
31213200-4;Transformateurs de distribution
31213300-5;Boîtiers de distribution par câble
31213400-6;Système de distribution
31214000-9;Appareillage de commutation
31214100-0;Interrupteurs
31214110-3;Sectionneurs
31214120-6;Interrupteur de mise à la terre
31214130-9;Interrupteurs de sécurité
31214140-2;Commandes d'intensité d'éclairage
31214150-5;Interrupteurs à tambour
31214160-8;Interrupteurs à pression
31214170-1;Interrupteurs à lÉvier
31214180-4;Interrupteurs à glissière
31214190-7;Interrupteurs de fin de course
31214200-1;Déconnecteur
31214300-2;Appareillage de commutation pour l'extérieur
31214400-3;Sectionneur à fusible
31214500-4;Tableaux électriques
31214510-7;Tableaux de distribution
31214520-0;Tableau moyenne tension
31215000-6;Limiteurs de tension
31216000-3;Parafoudre
31216100-4;Équipement de protection contre la foudre
31216200-5;Paratonnerre
31217000-0;Limiteurs de surcharge
31218000-7;Barres omnibus
31219000-4;Boîtiers de protection
31220000-4;Composants de circuits électriques
31221000-1;Relais électriques
31221100-2;Relais de puissance
31221200-3;Relais polyvalents
31221300-4;Relais à douille
31221400-5;Relais à tension alternative
31221500-6;Relais au mercure
31221600-7;Relais retardés
31221700-8;Relais de surcharge
31223000-5;Douilles
31224000-2;Connexions et éléments de contact
31224100-3;Fiches et prises de courant
31224200-4;Connecteurs coaxiaux
31224300-5;Boîtes de raccordement
31224400-6;Câbles de connexion
31224500-7;Bornes
31224600-8;Atténuateurs
31224700-9;Boîtes de jonction
31224800-0;Kits de raccordement de câbles
31224810-3;Câbles prolongateurs
31230000-7;Pièces pour appareils de distribution ou de commande électrique
31300000-9;Fils et câbles isolés
31310000-2;Canalisations
31311000-9;Connexions de réseau
31320000-5;Câbles de distribution électrique
31321000-2;Lignes électriques
31321100-3;Lignes électriques aériennes
31321200-4;Câble basse et moyenne tension
31321210-7;Câble basse tension
31321220-0;Câble moyenne tension
31321300-5;Câble haute tension
31321400-6;Câble subaquatique
31321500-7;Câble sous-marin
31321600-8;Câble blindé
31321700-9;Câble de signalisation
31330000-8;Câbles coaxiaux
31340000-1;Accessoires de câble, isolés
31341000-8;Bobines de câbles, isolées
31342000-5;Embranchements de câbles, isolés
31343000-2;Jonctions de câbles, isolées
31344000-9;Serre-garnitures de câbles, isolées
31350000-4;Conducteurs électriques pour données et contrôle
31351000-1;Conducteurs électriques pour systèmes de contrôle d'accès
31400000-0;Accumulateurs, piles et batteries primaires
31410000-3;Piles primaires
31411000-0;Piles alcalines
31420000-6;Batteries primaires
31421000-3;Batteries au plomb
31422000-0;Groupes de batteries
31430000-9;Accumulateurs électriques
31431000-6;Accumulateurs au plomb
31432000-3;Accumulateurs au nickel-cadmium
31433000-0;Accumulateurs au nickel-fer
31434000-7;Accumulateurs au lithium
31440000-2;Batteries
31500000-1;Appareils d'éclairage et lampes électriques
31510000-4;Lampes électriques à incandescence
31511000-1;Phares scellés
31512000-8;Lampes à incandescence à halogène
31512100-9;Ampoules halogène, linéaires
31512200-0;Ampoules halogène, bicontact
31512300-1;Ampoules halogène, dichroïques
31514000-2;Lampes à décharge
31515000-9;Émetteurs ultraviolets
31516000-6;Émetteurs infrarouges
31517000-3;Lampes à arc
31518000-0;Feux de signalisation
31518100-1;Projecteurs
31518200-2;Matériel d'éclairage de secours
31518210-5;Lampes-tempête
31518220-8;Bâton lumineux
31518300-3;Luminaires de toiture
31518500-5;Lampes à vapeur de mercure
31518600-6;Projecteurs orientables
31519000-7;Lampes à incandescence et lampes au néon
31519100-8;Lampes à incandescence
31519200-9;Lampes au néon
31520000-7;Lampes et appareils d'éclairage
31521000-4;Lampes
31521100-5;Lampes de bureau
31521200-6;Lampadaires
31521300-7;Lampes électriques portatives
31521310-0;Avertisseurs lumineux
31521320-3;Torches
31521330-6;Lampes électriques portatives rechargeables
31522000-1;Lampes décoratives pour arbres de Noël
31523000-8;Enseignes et plaques indicatrices lumineuses
31523100-9;Enseignes au néon
31523200-0;Panneaux à messages permanents
31523300-1;Plaques indicatrices lumineuses
31524000-5;Plafonniers ou appliques murales
31524100-6;Appareils d'éclairage à fixer au plafond
31524110-9;Scialytiques
31524120-2;Plafonniers
31524200-7;Accessoires d'appliques murales
31524210-0;Appliques murales
31527000-6;Spots
31527200-8;Éclairage extérieur
31527210-1;Lanternes
31527260-6;Systèmes d'éclairage
31527270-9;Éclairage de quai
31527300-9;Éclairage domestique
31527400-0;Eclairages sous-marin
31530000-0;Pièces de lampes et d'appareils d'éclairage
31531000-7;Ampoules
31531100-8;Tubes d'éclairage
31532000-4;Pièces de lampes et accessoires d'éclairage
31532100-5;Lampes à tube
31532110-8;Lampes à tube fluorescent
31532120-1;Lampes à tube fluorescent compactes
31532200-6;Lampes annulaires
31532210-9;Lampes annulaires fluorescentes
31532300-7;Lampes globe
31532310-0;Lampes globe fluorescentes compactes
31532400-8;Douilles de lampes
31532500-9;Interrupteurs de lampes
31532510-2;Interrupteurs de lampes fluorescentes
31532600-0;Bobines de réactance de lampes
31532610-3;Bobines de réactance de lampes fluorescentes
31532700-1;Écran protecteur de lampe
31532800-2;Bras de lampe
31532900-3;Lampes fluorescentes
31532910-6;Tubes fluorescents
31532920-9;Ampoules et lampes fluorescentes
31600000-2;Matériel électrique
31610000-5;Matériel électrique pour moteurs et véhicules
31611000-2;Jeux de câblage
31612000-9;Câblage électrique préassemblé pour moteurs
31612200-1;Moteurs de démarrage
31612300-2;Matériel électrique de signalisation pour moteurs
31612310-5;Clignotants
31620000-8;Appareils de signalisation acoustique ou optique
31625000-3;Avertisseurs d'effraction et d'incendie
31625100-4;Systèmes de détection d'incendie
31625200-5;Systèmes d'alarme incendie
31625300-6;Systèmes avertisseurs d'effraction
31630000-1;Aimants
31640000-4;Machines et appareils à usage spécifique
31642000-8;Appareils de détection électronique
31642100-9;Détecteurs de tubes métalliques
31642200-0;Détecteurs de mines
31642300-1;Détecteurs de matières plastiques
31642400-2;Détecteurs d'objets non métalliques
31642500-3;Détecteurs de bois
31643000-5;Accélérateurs de particules
31643100-6;Accélérateurs linéaires
31644000-2;Enregistreurs de données divers
31645000-9;Billards électriques
31650000-7;Pièces isolantes
31651000-4;Ruban isolant
31660000-0;Électrodes au carbone
31670000-3;Pièces électriques de machines ou d'appareils
31671000-0;Enveloppes de verre et tubes cathodiques
31671100-1;Enveloppes en verre
31671200-2;Tubes cathodiques
31680000-6;Fournitures et accessoires électriques
31681000-3;Accessoires électriques
31681100-4;Contacts électriques
31681200-5;Pompes électriques
31681300-6;Circuits électriques
31681400-7;Composants électriques
31681410-0;Matériels électriques
31681500-8;Rechargeurs
31682000-0;Approvisionnement en électricité
31682100-1;Coffres électriques
31682110-4;Couvercles de coffret de branchement
31682200-2;Tableaux d'instruments
31682210-5;Instruments et équipement de commande et de contrôle
31682220-8;Tables de mixage
31682230-1;Panneaux à écran graphique
31682300-3;Équipement moyenne tension
31682310-6;Panneaux moyenne tension
31682400-4;Équipement électrique aérien
31682410-7;Supports de câbles aériens
31682500-5;Équipement électrique de secours
31682510-8;Systèmes électriques de secours
31682520-1;Systèmes d'arrêt d'urgence
31682530-4;Alimentation électrique de secours
31682540-7;Équipement de sous-station
31700000-3;Fournitures électroniques, électromécaniques et électrotechniques
31710000-6;Équipement électronique
31711000-3;Fournitures électroniques
31711100-4;Composants électroniques
31711110-7;Émetteurs-récepteurs
31711120-0;Transducteurs
31711130-3;Résistances
31711131-0;Résistances électriques
31711140-6;Électrodes
31711150-9;Condensateurs électriques
31711151-6;Condensateurs fixes
31711152-3;Condensateurs variables ou réglables
31711154-0;Batteries de condensateurs
31711155-7;Réseaux de condensateurs
31711200-5;Tableaux indicateurs électroniques
31711300-6;Systèmes électroniques d'enregistrement des temps
31711310-9;Pointeuse
31711400-7;Valves et tubes
31711410-0;Tubes cathodiques pour récepteurs de télévision
31711411-7;Tubes pour caméras de télévision
31711420-3;Tubes et équipement pour hyperfréquences
31711421-0;Magnétrons
31711422-7;Équipement à hyperfréquences
31711423-4;Équipement hertzien
31711424-1;Klystrons
31711430-6;Tubes électroniques
31711440-9;Tubes de récepteur ou d'amplificateur
31711500-8;Pièces pour assemblages électroniques
31711510-1;Pièces pour condensateurs électriques
31711520-4;Pièces pour résistances électriques, rhéostats et potentiomètres
31711530-7;Pièces pour valves et tubes électroniques
31712000-0;Machines et appareils microélectroniques et microsystèmes
31712100-1;Machines et appareils microélectroniques
31712110-4;Circuits intégrés et microassemblages électroniques
31712111-1;Cartes téléphoniques
31712112-8;Cartes SIM
31712113-5;Cartes à circuits intégrés
31712114-2;Circuits intégrés électroniques
31712115-9;Microassemblages
31712116-6;Microprocesseurs
31712117-3;Boîtiers de circuits intégrés
31712118-0;Supports ou montures de circuits intégrés
31712119-7;Capots de circuits intégrés
31712200-2;Microsystèmes
31712300-3;Circuits imprimés
31712310-6;Cartes de circuits imprimés garnies
31712320-9;Cartes de circuits imprimés non garnies
31712330-2;Semi-conducteurs
31712331-9;Cellules photovoltaïques
31712332-6;Thyristors
31712333-3;Diacs
31712334-0;Triacs
31712335-7;Coupleurs optiques
31712336-4;Oscillateurs à quartz
31712340-5;Diodes
31712341-2;Diodes électroluminescentes
31712342-9;Diodes micro-ondes ou diodes à petits signaux
31712343-6;Diodes Zener
31712344-3;Diodes Schottky
31712345-0;Diodes tunnel
31712346-7;Diodes photosensibles
31712347-4;Diodes de puissance ou diodes solaires
31712348-1;Diodes laser
31712349-8;Diodes à radiofréquence (RF)
31712350-8;Transistors
31712351-5;Transistors photosensibles
31712352-2;Transistors à effet de champ (FET)
31712353-9;Transistors à effet de champ à oxdes métalliques (MOSFET)
31712354-6;Puces à transistor
31712355-3;Transistors bipolaires darlington ou transistors à radiofréquence (RF)
31712356-0;Transistors unijonction
31712357-7;Transistors bipolaires à grille isolée (IGBT)
31712358-4;Transistors à effet de champ à jonction (JFET)
31712359-1;Transistors bipolaires à jonction (BJT)
31712360-1;Cristaux piézoélectriques montés
31720000-9;Équipement électromécanique
31730000-2;Équipement électrotechnique
31731000-9;Fournitures électrotechniques
31731100-0;Modules
32000000-3;Équipements et appareils de radio, de télévision, de communication, de télécommunication et équipements connexes
32200000-5;Appareils émetteurs de radiotéléphonie, de radiotélégraphie, de radiodiffusion et de télévision
32210000-8;Matériel de radiodiffusion et de télévision
32211000-5;Matériel de production pour radiodiffusion et télévision
32220000-1;Appareils émetteurs de télévision sans appareils récepteurs
32221000-8;Radiobalises
32222000-5;Appareils de codage de signaux vidéo
32223000-2;Appareils de transmission vidéo
32224000-9;Appareils émetteurs de télévision
32230000-4;Appareils émetteurs de radio avec appareils récepteurs
32231000-1;Appareils de télévision en circuit fermé
32232000-8;Matériel de visioconférence
32233000-5;Postes d'amplification de fréquences radio
32234000-2;Caméras de télévision en circuit fermé
32235000-9;Système de surveillance en circuit fermé
32236000-6;Radiotéléphones
32237000-3;Talkies-walkies
32240000-7;Caméras de télévision
32250000-0;Téléphones mobiles
32251000-7;Téléphones de voiture
32251100-8;Ensembles mains-libres
32252000-4;Téléphones GSM
32252100-5;Téléphones mobiles mains-libres
32252110-8;Téléphones mobiles mains-libres (sans fil)
32260000-3;Matériel de transmission de données
32270000-6;Appareils de transmission numérique
32300000-6;Récepteurs de télévision et de radio et appareils d'enregistrement ou de reproduction du son ou de l'image
32310000-9;Récepteurs de radiodiffusion
32320000-2;Matériel de télévision et matériel audiovisuel
32321000-9;Matériel de projection télévisée
32321100-0;Appareils pour films et vidéo
32321200-1;Équipement audiovisuel
32321300-2;Matériel audiovisuel
32322000-6;Équipement multimédia
32323000-3;Moniteurs vidéo
32323100-4;Moniteurs vidéo couleur
32323200-5;Moniteurs vidéo monochrome
32323300-6;Matériel vidéo
32323400-7;Matériel de reproduction vidéo
32323500-8;Système de surveillance vidéo
32324000-0;Récepteurs de télévision
32324100-1;Récepteurs de télévision couleur
32324200-2;Récepteurs de télévision monochrome
32324300-3;Matériel de télévision
32324310-6;Antennes satellitaires
32324400-4;Antennes de télévision
32324500-5;Syntoniseurs vidéo
32324600-6;Décodeurs de télévision numérique
32330000-5;Appareils d'enregistrement et de reproduction audio et vidéo
32331000-2;Plateaux pour phonographes
32331100-3;Tourne-disques
32331200-4;Lecteurs de cassettes
32331300-5;Appareils de reproduction audio
32331500-7;Enregistreurs
32331600-8;Lecteur MP3
32332000-9;Enregistreurs à bande magnétique
32332100-0;Dictaphones
32332200-1;Répondeurs téléphoniques
32332300-2;Enregistreurs de son
32333000-6;Appareils d'enregistrement ou de reproduction vidéo
32333100-7;Magnétoscopes
32333200-8;Caméscopes
32333300-9;Appareils de reproduction vidéophonique
32333400-0;Lecteurs vidéo
32340000-8;Micros et haut-parleurs
32341000-5;Micros
32342000-2;Haut-parleurs
32342100-3;Casques d'écoute
32342200-4;Écouteurs
32342300-5;Microphones et haut-parleurs
32342400-6;Dispositifs acoustiques
32342410-9;Matériel de sonorisation
32342411-6;Mini-haut-parleurs
32342412-3;Enceintes
32342420-2;Tables de mixage en studio
32342430-5;Système de compression de la parole
32342440-8;Système de messagerie vocale
32342450-1;Enregistreurs de voix
32343000-9;Amplificateurs
32343100-0;Amplificateurs d'audiofréquences
32343200-1;Mégaphones
32344000-6;Appareils récepteurs de radiotéléphonie ou de radiotélégraphie
32344100-7;Récepteurs portables d'appel et de radiomessagerie
32344110-0;Système d'enregistrement de voix
32344200-8;Récepteurs radio
32344210-1;Matériel radio
32344220-4;Récepteurs de radiomessagerie
32344230-7;Stations radio
32344240-0;Relais hertzien
32344250-3;Installations radio
32344260-6;Équipement radio et de multiplexage
32344270-9;Système de commande radio et téléphonique
32344280-2;Radios portables
32350000-1;Pièces pour matériel audio et vidéo
32351000-8;Accessoires pour matériel audio et vidéo
32351100-9;Matériel de montage vidéo
32351200-0;Écrans
32351300-1;Accessoires pour matériel audio
32351310-4;Cassettes audio
32352000-5;Antennes et réflecteurs
32352100-6;Pièces pour matériel radio et radar
32352200-7;Pièces détachées et accessoires pour radars
32353000-2;Enregistrements sonores
32353100-3;Disques
32353200-4;Cassettes musicales
32354000-9;Films
